N,TempReal,dcPWM
1161,44.2,47
1162,43.0,47
1163,44.2,47
1164,44.2,47
1165,43.9,47
1166,44.0,47
1167,44.2,47
1168,44.1,47
1169,44.2,47
1170,44.3,47
1171,44.3,47
1172,44.4,47
1173,44.8,47
1174,44.5,47
1175,44.4,47
1176,44.3,47
1177,44.5,47
1178,44.5,47
1179,44.3,47
1180,44.1,47
1181,44.7,47
1182,44.5,47
1183,44.9,47
1184,44.7,47
1185,44.7,47
1186,44.8,47
1187,44.5,47
1188,45.0,47
1189,44.7,47
1190,45.4,47
1191,45.0,47
1192,45.1,47
1193,45.0,47
1194,45.0,47
1195,44.8,47
1196,45.2,47
1197,45.2,47
1198,45.0,47
1199,45.1,47
1200,45.2,47
1201,44.9,47
1202,45.2,47
1203,45.3,47
1204,45.2,47
1205,45.6,47
1206,45.5,47
1207,45.2,47
1208,45.8,47
1209,45.1,47
1210,45.1,47
1211,45.8,47
1212,45.5,47
1213,45.7,47
1214,45.7,47
1215,45.2,47
1216,45.5,47
1217,45.6,47
1218,45.3,47
1219,45.2,47
1220,45.9,47
1221,45.8,47
1222,46.2,47
1223,45.5,47
1224,45.5,47
1225,45.8,47
1226,45.5,47
1227,45.5,47
1228,44.8,47
1229,45.5,47
1230,45.8,47
1231,45.2,47
1232,44.9,47
1233,45.5,47
1234,45.8,47
1235,45.3,47
1236,45.5,47
1237,45.7,47
1238,45.3,47
1239,45.9,17
1240,45.5,17
1241,45.6,17
1242,45.8,17
1243,45.8,17
1244,45.7,17
1245,45.5,17
1246,45.5,17
1247,45.5,17
1248,45.9,17
1249,45.5,17
1250,45.0,17
1251,45.2,17
1252,45.0,17
1253,44.5,17
1254,44.8,17
1255,44.3,17
1256,43.7,17
1257,43.8,17
1258,43.2,17
1259,43.1,17
1260,41.9,17
1261,42.4,17
1262,42.1,17
1263,41.7,17
1264,41.2,17
1265,41.4,17
1266,40.9,17
1267,40.4,17
1268,40.1,17
1269,39.3,17
1270,39.1,17
1271,38.6,17
1272,38.5,17
1273,38.4,17
1274,38.5,17
1275,37.6,17
1276,37.4,17
1277,37.2,17
1278,36.2,17
1279,36.8,17
1280,36.1,17
1281,36.7,17
1282,36.0,17
1283,36.0,17
1284,35.7,17
1285,35.3,17
1286,35.0,17
